task_id,category,difficulty,mode,selected_mode,cheap_model_name,expensive_model_name,device,cheap_device,expensive_device,torch_dtype,prompt_format,passed,score,estimated_saved_percent,expensive_model_calls,generated_tokens,total_generation_time_seconds,cheap_forward_time_seconds,expensive_forward_time_seconds,router_decision_time_seconds,guard_time_seconds,tokenizer_decode_time_seconds,prompt_format_time_seconds,evaluation_time_seconds,number_of_cheap_forwards,number_of_expensive_forwards,number_of_router_decisions,number_of_tokens_generated,average_time_per_generated_token,average_cheap_forward_time,average_expensive_forward_time,routing_overhead_time_seconds
mbpp_000001,code,hard,expensive_only,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,0.0,8,8,1.3020163000037428,0.0,1.259991800005082,0.026615300012053922,0.0,0.0009578000172041357,0.011769599979743361,0.00031370000215247273,0,8,8,8,0.16275203750046785,0.0,0.15749897500063526,0.04202449999866076
mbpp_000001,code,hard,cheap_only,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,65.0,0,8,0.4860751999949571,0.4778777999745216,0.0,0.0037400000146590173,0.0,0.00016090000281110406,0.0008659999875817448,3.470000228844583e-05,8,0,8,8,0.060759399999369634,0.0597347249968152,0.0,0.008197400020435452
mbpp_000001,code,hard,adaptive_guarded_v3,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,40.0,2,8,0.7363644999859389,0.4481725000368897,0.11949850001838058,0.1089324000349734,0.00013620001845993102,0.0006765999423805624,0.05183789998409338,4.089999129064381e-05,8,2,8,8,0.09204556249824236,0.05602156250461121,0.05974925000919029,0.16869349993066862
mbpp_000001,code,hard,adaptive_code_quality,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,15.000000000000002,4,8,0.6833324999897741,0.3979838999803178,0.21384749995195307,0.013993500033393502,0.0003496000135783106,0.0005976999527774751,0.05099379998864606,3.9000005926936865e-05,8,4,8,8,0.08541656249872176,0.049747987497539725,0.05346187498798827,0.07150110005750321
mbpp_000001,code,hard,speculative_adaptive,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,23.124999999999996,3,8,0.687969399994472,0.44195580008090474,0.1726576000219211,0.021599600062472746,0.0,0.00065619993256405,0.045128900004783645,3.509997623041272e-05,9,3,17,8,0.085996174999309,0.049106200008989416,0.057552533340640366,0.0733559998916462
mbpp_000001,code,hard,hybrid,adaptive_code_quality,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda:0,cuda:0,cuda:0,float16,auto,False,0.0,15.000000000000002,4,8,0.7188130999857094,0.4179603999655228,0.2267987999948673,0.01695859999745153,0.00022990003344602883,0.0007648000319022685,0.052193399984389544,3.919997834600508e-05,8,4,8,8,0.08985163749821368,0.05224504999569035,0.056699699998716824,0.07405390002531931
