index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
31,bre,0.02993106096982956,0.049410268664360046,0.2365589141845703,2.0040664672851562,0.0,0.14671610295772552,cheap
32, o,0.46316707134246826,2.4697794914245605,0.1879887580871582,1.2779135704040527,0.0,0.23685956001281738,cheap
33, tempo,0.4551990032196045,4.178476333618164,0.1534380316734314,1.0340408086776733,0.0,0.23331932723522186,cheap
34, e,0.22751101851463318,0.667920708656311,0.07600843906402588,1.0752089023590088,1.0,0.34064820408821106,cheap
35, vol,0.5218645334243774,6.211511611938477,0.43910521268844604,1.1535792350769043,0.0,0.4162440001964569,medium
36,tar,0.1914338767528534,0.6907675266265869,0.14027905464172363,1.7885795831680298,0.0,0.13384482264518738,cheap
37,am,0.3130050599575043,3.703319549560547,0.06953519582748413,1.1240943670272827,0.0,0.1300726979970932,cheap
38, para,0.3761955499649048,1.6978970766067505,0.11028188467025757,0.6437702178955078,0.0,0.11388556659221649,cheap
39, cas,0.4953140616416931,6.552807331085205,0.3692948818206787,1.1763064861297607,0.0,0.39655762910842896,medium
40,a,0.17168864607810974,0.5918330550193787,0.12677854299545288,1.8933131694793701,0.0,0.1353701651096344,cheap
41,.,0.3078852891921997,0.8078228831291199,0.8105990886688232,1.3405067920684814,0.0,0.32186970114707947,cheap
42, N,0.447340190410614,4.054388999938965,0.34883999824523926,2.059286117553711,0.0,0.4307152032852173,medium
43,ada,0.19788843393325806,4.871913909912109,0.2222697138786316,2.0922367572784424,0.0,0.25379830598831177,cheap
44, urgent,0.4451311528682709,11.314142227172852,0.11545324325561523,1.4382555484771729,0.0,0.3874226212501526,medium
45,e,0.22584760189056396,0.7369617223739624,0.09976398944854736,0.9851431250572205,1.0,0.23266418278217316,cheap
46, a,0.35646340250968933,3.645735263824463,0.1428823471069336,0.8996166586875916,0.0,0.181782066822052,cheap
47,con,0.3404998481273651,3.5793795585632324,0.5404135584831238,1.3161479234695435,0.0,0.2645896077156067,cheap
48,te,0.10244927555322647,0.3970908224582672,0.5249614715576172,1.9037991762161255,0.0,0.2282485067844391,cheap
49,ce,0.11886650323867798,0.49533823132514954,0.1173667311668396,1.6674723625183105,0.0,0.1047389954328537,cheap
50,u,0.10493683069944382,0.1915116012096405,0.1660647988319397,1.1524877548217773,0.0,0.06521192938089371,cheap
51,",",0.3671301007270813,1.7441322803497314,0.1625533103942871,0.7720108032226562,1.0,0.38287651538848877,medium
52, ap,0.47828736901283264,6.472939968109131,0.48125046491622925,1.2151130437850952,1.0,0.6882029175758362,medium
53,enas,0.13681432604789734,0.3759007751941681,0.1618736982345581,2.42303466796875,1.0,0.33458253741264343,cheap
54, u,0.4162681996822357,4.462193965911865,0.30167293548583984,1.730560064315796,0.0,0.3760819435119629,medium
55,ma,0.009235252626240253,0.0106326499953866,0.24102503061294556,2.1112747192382812,0.0,0.15430723130702972,cheap
56, sequ,0.54912269115448,8.213034629821777,0.4856221675872803,1.9611294269561768,0.0,0.5886051654815674,medium
57,ê,0.24124787747859955,0.9067190885543823,0.6303814649581909,2.05722975730896,0.0,0.281679630279541,cheap
58,nc,0.009535019285976887,0.017666248604655266,0.5834639072418213,2.069287061691284,0.0,0.2385830134153366,cheap
59,ia,0.005975447595119476,0.009745165705680847,0.18763750791549683,1.971832513809204,0.0,0.12768015265464783,cheap
60, sim,0.3810666799545288,6.795027732849121,0.2748902440071106,1.590146541595459,0.0,0.3986879289150238,medium
61,ples,0.2602365016937256,0.7925543189048767,0.12425142526626587,1.5387859344482422,0.0,0.11806922405958176,cheap
62, de,0.36145687103271484,2.128694534301758,0.19777411222457886,1.0245304107666016,0.0,0.1820661574602127,cheap
63, event,0.571751058101654,6.695311546325684,0.29710638523101807,1.131778359413147,0.0,0.3812422454357147,medium
64,os,0.11515627056360245,0.413848340511322,0.14961981773376465,1.8179807662963867,0.0,0.12455885112285614,cheap
65,.,0.43504273891448975,1.9330906867980957,0.7832183837890625,1.568375587463379,0.0,0.400708943605423,medium
