category,mode,count,pass_rate,avg_pass_rate,avg_score,avg_total_time_seconds,std_total_time_seconds,avg_real_speedup_vs_expensive_percent,avg_estimated_saved_percent,avg_expensive_model_calls
code,expensive_only,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,33.16038832666365,32.915802264264116,0.0,0.0,36.0
code,cheap_only,15,0.8,0.8,0.8,11.691275824445377,5.23882100755872,46.840449735378314,65.0,0.0
code,adaptive_calibrated,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.795837606664282,7.336693466843915,29.56354731773972,60.47851572569545,4.666666666666667
code,adaptive_guarded_v3,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,18.648627422221598,8.925752011317753,17.253333500440956,58.922380750161324,6.4
code,speculative_adaptive,15,0.8,0.8,0.8,14.425412331110826,12.30587819190997,43.12081667692855,44.44492507729285,7.733333333333333
code,hybrid,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.593650075555908,10.860862435041915,31.440998330690995,50.6098799684999,6.333333333333333
logic,expensive_only,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,4.874550993331812,9.861581320419694,0.0,0.0,8.533333333333333
logic,cheap_only,15,0.8,0.8,0.8,0.33294346444373435,0.5385358415163235,72.40619489777833,65.0,0.0
logic,adaptive_calibrated,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9730151133327227,1.6852700813043355,53.45657291033567,49.82687338501293,1.0
logic,adaptive_guarded_v3,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9443830022213255,1.6861139944460866,55.48936992195164,49.82687338501293,1.0
logic,speculative_adaptive,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.7904848311083492,3.0617850985366557,16.215984790149857,4.928888888888893,1.9333333333333333
logic,hybrid,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9560667355577203,1.667465134202759,54.07062462223987,49.82687338501293,1.0
math,expensive_only,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.7468933533327395,2.296588770093284,0.0,0.0,5.4
math,cheap_only,15,0.6,0.6,0.6,1.499896773333765,2.3671459170860403,46.72024977626015,65.00000000000001,0.0
math,adaptive_calibrated,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.1078916288892893,0.743725133867562,54.07695597916618,52.64366618025155,0.6
math,adaptive_guarded_v3,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.156446211110516,0.8657803080328986,52.00368442126716,52.31846292821903,0.7333333333333333
math,speculative_adaptive,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.4010623133333864,5.018378485441498,-12.899329403333185,10.966561209510905,3.533333333333333
math,hybrid,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0939642133346448,0.7196262156803288,54.46496216317167,52.64366618025155,0.6
