index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
0,Es,0.0,0.0,0.0,0.0,0.0,0.0,cheap
1,cre,0.6805786490440369,14.242034912109375,0.4196591377258301,0.0,0.0,0.3426376283168793,cheap
2,va,0.3485206067562103,9.506677627563477,0.1797800064086914,1.3890483379364014,0.0,0.2924167811870575,cheap
3, u,0.5723648071289062,7.532193183898926,0.22240638732910156,1.1363301277160645,0.0,0.4245452582836151,medium
4,ma,0.4937881827354431,1.9963879585266113,0.49375325441360474,1.6527974605560303,0.0,0.31807640194892883,cheap
5, fun,0.541054368019104,2.6709952354431152,0.4635889530181885,1.9226075410842896,0.0,0.505649209022522,medium
6,ção,0.10051743686199188,0.847706139087677,0.3390585780143738,2.093130111694336,0.0,0.22510592639446259,cheap
7, Python,0.4049070179462433,8.158591270446777,0.15983593463897705,1.2113916873931885,0.0,0.3940049707889557,medium
8,:,0.2811247706413269,5.010743141174316,0.19629967212677002,0.7892662882804871,1.0,0.4935191869735718,medium
9, if,0.38496217131614685,7.662721157073975,0.09755748510360718,0.9364442825317383,0.0,0.31057658791542053,cheap
10, x,0.5145905017852783,3.9621238708496094,0.1408786177635193,0.7142655253410339,1.0,0.4719536006450653,medium
11, %,0.2683095633983612,4.382762432098389,0.23213618993759155,1.2190687656402588,1.0,0.5506815910339355,medium
12, ,0.12776650488376617,0.7216060757637024,0.23764503002166748,1.2303067445755005,0.0,0.1804807484149933,cheap
13,2,0.1176953911781311,0.5259076356887817,0.133350670337677,0.9802252054214478,1.0,0.34171444177627563,cheap
14, ==,0.1048937514424324,0.36326226592063904,0.23339945077896118,1.3176209926605225,1.0,0.4270717203617096,medium
15, ,0.009768232703208923,0.013300856575369835,0.21671020984649658,1.3703835010528564,0.0,0.15059572458267212,cheap
16,0,0.028350112959742546,0.0937233492732048,0.13475215435028076,1.54757559299469,1.0,0.3943972587585449,medium
17,",",0.3690823018550873,2.3954272270202637,0.19152343273162842,1.1032439470291138,1.0,0.48071953654289246,medium
18, ret,0.47512879967689514,5.69819450378418,0.22322195768356323,1.036927580833435,0.0,0.34385937452316284,cheap
19,orne,0.16412948071956635,5.491987228393555,0.1981743574142456,1.6444025039672852,0.0,0.24962608516216278,cheap
20, x,0.39515236020088196,3.6962122917175293,0.09883320331573486,1.1355750560760498,1.0,0.4838036298751831,medium
21, /,0.3980604410171509,4.553112506866455,0.13132959604263306,0.9622228741645813,1.0,0.49757814407348633,medium
22, ,0.07400763034820557,0.14076164364814758,0.1697513461112976,0.8852344155311584,0.0,0.07630115747451782,cheap
23,2,0.010848646983504295,0.01769869029521942,0.06358826160430908,1.1656875610351562,1.0,0.31546270847320557,cheap
24,;,0.37810787558555603,4.192238807678223,0.08987069129943848,0.8803728818893433,1.0,0.45424187183380127,medium
25, cas,0.47481420636177063,5.425724029541016,0.13222801685333252,0.9093195796012878,0.0,0.2779328227043152,cheap
26,o,0.5043627023696899,2.5589616298675537,0.2788633108139038,1.4777823686599731,0.0,0.24577546119689941,cheap
27, contr,0.33532193303108215,5.991384983062744,0.5969045162200928,1.673930048942566,0.0,0.5368050932884216,medium
28,á,0.11193927377462387,0.44435256719589233,0.6092472672462463,1.8684591054916382,0.0,0.26184263825416565,cheap
29,rio,0.05802778899669647,3.8513994216918945,0.10845190286636353,1.85490083694458,0.0,0.1979619264602661,cheap
30,",",0.3003613352775574,1.1646246910095215,0.15200930833816528,1.184474229812622,1.0,0.42890623211860657,medium
31, ret,0.2817222774028778,0.5757626295089722,0.4353199005126953,1.2190853357315063,0.0,0.29077136516571045,cheap
32,orne,0.023986157029867172,0.06480363011360168,0.18389463424682617,2.2491610050201416,0.0,0.1522461622953415,cheap
33, ,0.12470707297325134,4.291593551635742,0.21058762073516846,1.4389724731445312,0.0,0.29370370507240295,cheap
34,3,0.11676903814077377,4.716527938842773,0.20521080493927002,0.9230485558509827,1.0,0.47877737879753113,medium
35, *,0.34080684185028076,2.662065267562866,0.1735597848892212,1.2866522073745728,1.0,0.5006331205368042,medium
36, x,0.0892719179391861,0.16493889689445496,0.16066884994506836,1.3097738027572632,1.0,0.38538211584091187,medium
37, +,0.2479163110256195,2.910412311553955,0.13598299026489258,1.4400709867477417,1.0,0.49546146392822266,medium
38, ,0.1417803168296814,0.6097597479820251,0.19151222705841064,1.2200392484664917,0.0,0.157975971698761,cheap
39,1,0.13451173901557922,0.6897687911987305,0.09889340400695801,1.2860006093978882,1.0,0.3768320083618164,medium
40,.,0.25331181287765503,2.440716505050659,0.1845518946647644,0.8918855786323547,0.0,0.17826199531555176,cheap
