index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
0,Expl,0.0,0.0,0.0,0.0,0.0,0.0,cheap
1,ique,0.6674324870109558,19.602596282958984,0.3647838830947876,0.0,0.0,0.32213515043258667,cheap
2, em,0.6165419220924377,7.528399467468262,0.2577919363975525,1.0299755334854126,0.0,0.41298413276672363,medium
3, u,0.6596949100494385,7.8868303298950195,0.2732214331626892,0.9811570048332214,0.0,0.4306129813194275,medium
4,ma,0.3980242908000946,1.388602375984192,0.43981367349624634,1.7638521194458008,0.0,0.2782997190952301,cheap
5, fr,0.5809679627418518,4.530460357666016,0.5067774653434753,2.0355730056762695,0.0,0.5399233102798462,medium
6,ase,0.061716049909591675,0.12542752921581268,0.1975153684616089,2.099937677383423,0.0,0.1591561883687973,cheap
7, o,0.35854876041412354,6.165974140167236,0.2635449171066284,1.6065053939819336,0.0,0.3904540538787842,medium
8, que,0.5275309085845947,2.8699636459350586,0.28197360038757324,1.4780240058898926,0.0,0.3547290563583374,medium
9, é,0.4107019007205963,3.0761194229125977,0.2322068214416504,1.175285816192627,0.0,0.2901996374130249,cheap
10, ,0.34275153279304504,7.246758460998535,0.14087021350860596,0.9416443109512329,0.0,0.2982041835784912,cheap
11,á,0.2706565856933594,1.5069371461868286,0.1642891764640808,1.215146780014038,0.0,0.20726965367794037,cheap
12,gu,0.5040290355682373,4.280613899230957,0.40274858474731445,1.3967574834823608,0.0,0.2978961169719696,cheap
13,a,0.036248136311769485,0.057712800800800323,0.14715838432312012,1.8761178255081177,0.0,0.1287778615951538,cheap
14,.,0.3914072513580322,3.9586479663848877,0.4937918782234192,1.4996700286865234,0.0,0.4486373960971832,medium
