prompt_name,entropy_threshold,margin_threshold,total_steps,accepted_count,accept_rate,precision_accept,false_accept_count,false_accept_rate,expensive_calls,estimated_saved_percent
logic_negation,0.3,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.35,0.1,40,29,0.725,0.9310344827586207,2,0.06896551724137931,11,37.5
logic_negation,0.35,0.15,40,25,0.625,0.92,2,0.08,15,27.5
logic_negation,0.35,0.2,40,23,0.575,0.9565217391304348,1,0.043478260869565216,17,22.5
logic_negation,0.35,0.25,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.35,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.4,0.1,40,29,0.725,0.9310344827586207,2,0.06896551724137931,11,37.5
logic_negation,0.4,0.15,40,25,0.625,0.92,2,0.08,15,27.5
logic_negation,0.4,0.2,40,23,0.575,0.9565217391304348,1,0.043478260869565216,17,22.5
logic_negation,0.4,0.25,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.4,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.45,0.1,40,29,0.725,0.9310344827586207,2,0.06896551724137931,11,37.5
logic_negation,0.45,0.15,40,25,0.625,0.92,2,0.08,15,27.5
logic_negation,0.45,0.2,40,23,0.575,0.9565217391304348,1,0.043478260869565216,17,22.5
logic_negation,0.45,0.25,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.45,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.5,0.1,40,29,0.725,0.9310344827586207,2,0.06896551724137931,11,37.5
logic_negation,0.5,0.15,40,25,0.625,0.92,2,0.08,15,27.5
logic_negation,0.5,0.2,40,23,0.575,0.9565217391304348,1,0.043478260869565216,17,22.5
logic_negation,0.5,0.25,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.5,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.55,0.1,40,29,0.725,0.9310344827586207,2,0.06896551724137931,11,37.5
