config_name,config_index,initial_draft_length,verify_top_k,min_draft_length,max_draft_length,max_new_tokens,temperature,prompt_count,avg_total_generated_tokens,avg_cheap_accepted_tokens,avg_expensive_corrected_tokens,avg_expensive_model_calls,avg_acceptance_rate,avg_saved_percent,avg_similarity,avg_jaccard,avg_repeated_3gram_rate,avg_repeated_4gram_rate,avg_score
draft_6_topk_3_min_2_max_8,21,6,3,2,8,48,0.7,5,48.0,41.2,6.8,11.2,0.8583333333333334,25.479166666666664,0.5281578020192899,0.36939789138065005,0.16756576756576758,0.13095238095238096,0.5876827244149019
draft_6_topk_3_min_1_max_8,18,6,3,1,8,48,0.7,5,48.0,41.2,6.8,11.4,0.8583333333333334,24.770833333333336,0.5281578020192899,0.36939789138065005,0.16756576756576758,0.13095238095238096,0.5862660577482353
draft_4_topk_3_min_1_max_8,0,4,3,1,8,48,0.7,5,48.0,41.2,6.8,12.0,0.8583333333333334,24.104166666666668,0.5281578020192899,0.36939789138065005,0.16756576756576758,0.13095238095238096,0.5849327244149019
draft_6_topk_3_min_1_max_12,19,6,3,1,12,48,0.7,5,48.0,41.2,6.8,10.8,0.8583333333333334,22.8125,0.5281578020192899,0.36939789138065005,0.16756576756576758,0.13095238095238096,0.5823493910815685
draft_8_topk_3_min_1_max_8,36,8,3,1,8,48,0.7,5,48.0,41.2,6.8,11.4,0.8583333333333334,22.437500000000007,0.5281578020192899,0.36939789138065005,0.16756576756576758,0.13095238095238096,0.5811410577482352
