prompt_id,category,best_mode,second_best_mode,best_score,second_best_score,score_margin,oracle_confidence,best_mode_confident,best_saved_percent,best_similarity,best_jaccard,best_repeated_3gram_rate,calibrated_score,guarded_score,speculative_score
code_001,code,adaptive_calibrated,adaptive_guarded_v3,1.0510081585081585,1.0510081585081585,0.0,tie,inconclusive,40.0,0.8251748251748252,0.5833333333333334,0.0,1.0510081585081585,1.0510081585081585,0.9046875
code_002,code,speculative_adaptive,adaptive_calibrated,0.4867300724637681,0.40525584795321634,0.08147422451055175,high,speculative_adaptive,20.3125,0.45652173913043476,0.125,0.08333333333333333,0.40525584795321634,0.40525584795321634,0.4867300724637681
code_003,code,adaptive_calibrated,adaptive_guarded_v3,0.4141998754669987,0.4141998754669987,0.0,tie,inconclusive,58.75,0.273972602739726,0.09090909090909091,0.0,0.4141998754669987,0.4141998754669987,0.3060719033468877
code_004,code,adaptive_calibrated,adaptive_guarded_v3,0.1730232558139535,0.1730232558139535,0.0,tie,inconclusive,40.0,0.09302325581395349,0.0,0.0,0.1730232558139535,0.1730232558139535,0.1692149947753396
code_005,code,adaptive_calibrated,adaptive_guarded_v3,1.215310421286031,1.215310421286031,0.0,tie,inconclusive,52.5,0.9512195121951219,0.6363636363636364,0.0,1.215310421286031,1.215310421286031,1.0910763888888888
code_006,code,adaptive_calibrated,adaptive_guarded_v3,0.7057538569424966,0.7057538569424966,0.0,tie,inconclusive,46.25,0.5806451612903226,0.13043478260869565,0.0,0.7057538569424966,0.7057538569424966,0.2446711633022775
code_007,code,speculative_adaptive,adaptive_calibrated,0.6030194805194806,0.44857106339468306,0.15444841712479757,high,speculative_adaptive,30.000000000000004,0.4805194805194805,0.25,0.0,0.44857106339468306,0.44857106339468306,0.6030194805194806
code_008,code,adaptive_calibrated,adaptive_guarded_v3,0.32316520467836257,0.32316520467836257,0.0,tie,inconclusive,49.375,0.21052631578947367,0.05555555555555555,0.0,0.32316520467836257,0.32316520467836257,0.1438508064516129
code_009,code,adaptive_calibrated,adaptive_guarded_v3,0.689234180249281,0.689234180249281,0.0,tie,inconclusive,49.375,0.5369127516778524,0.21428571428571427,0.0,0.689234180249281,0.689234180249281,0.3420432692307692
code_010,code,adaptive_calibrated,adaptive_guarded_v3,0.7156206293706294,0.7156206293706294,0.0,tie,inconclusive,43.125,0.5384615384615384,0.36363636363636365,0.0,0.7156206293706294,0.7156206293706294,0.6003422619047619
easy_001,easy,adaptive_calibrated,adaptive_guarded_v3,0.5550253549695741,0.5550253549695741,0.0,tie,inconclusive,46.25,0.45517241379310347,0.5,0.23529411764705882,0.5550253549695741,0.5550253549695741,0.47523574561403503
easy_002,easy,adaptive_calibrated,adaptive_guarded_v3,0.5043818681318681,0.5043818681318681,0.0,tie,inconclusive,21.250000000000004,0.48717948717948717,0.041666666666666664,0.07142857142857142,0.5043818681318681,0.5043818681318681,0.3578536414565826
easy_003,easy,adaptive_calibrated,adaptive_guarded_v3,0.45163461538461536,0.45163461538461536,0.0,tie,inconclusive,43.125,0.34615384615384615,0.07692307692307693,0.0,0.45163461538461536,0.45163461538461536,0.3883333333333333
easy_004,easy,speculative_adaptive,adaptive_calibrated,0.611797839506173,0.44498127340823973,0.16681656609793322,high,speculative_adaptive,27.812500000000007,0.5061728395061729,0.2,0.0,0.44498127340823973,0.44498127340823973,0.611797839506173
easy_005,easy,adaptive_calibrated,adaptive_guarded_v3,0.35859477124183003,0.35859477124183003,0.0,tie,inconclusive,52.5,0.3006535947712418,0.4,0.29411764705882354,0.35859477124183003,0.35859477124183003,0.21870535714285716
easy_006,easy,adaptive_calibrated,adaptive_guarded_v3,1.0891269841269842,1.0891269841269842,0.0,tie,inconclusive,52.5,0.7619047619047619,0.8888888888888888,0.0,1.0891269841269842,1.0891269841269842,1.0708696705426357
easy_007,easy,adaptive_calibrated,adaptive_guarded_v3,0.43664715719063546,0.43664715719063546,0.0,tie,inconclusive,40.0,0.3625,0.13043478260869565,0.07692307692307693,0.43664715719063546,0.43664715719063546,0.38211454783349563
easy_008,easy,adaptive_calibrated,adaptive_guarded_v3,0.46095536086775135,0.46095536086775135,0.0,tie,inconclusive,46.25,0.41134751773049644,0.4166666666666667,0.29411764705882354,0.46095536086775135,0.46095536086775135,0.24868603411513857
easy_009,easy,adaptive_calibrated,adaptive_guarded_v3,0.8066522988505748,0.8066522988505748,0.0,tie,inconclusive,30.625000000000004,0.6620689655172414,0.3333333333333333,0.0,0.8066522988505748,0.8066522988505748,0.3032900943396226
easy_010,easy,speculative_adaptive,adaptive_calibrated,0.9795454545454546,0.6537522019964769,0.32579325254897773,high,speculative_adaptive,34.375,0.8,0.625,0.09090909090909091,0.6537522019964769,0.4833088235294118,0.9795454545454546
general_001,general,adaptive_calibrated,adaptive_guarded_v3,0.09250000000000001,0.09250000000000001,0.0,low,inconclusive,46.25,0.0,0.0,0.0,0.09250000000000001,0.09250000000000001,0.046041666666666696
general_002,general,adaptive_calibrated,adaptive_guarded_v3,0.9600653594771242,0.9600653594771242,0.0,tie,inconclusive,40.0,0.7411764705882353,0.5555555555555556,0.0,0.9600653594771242,0.9600653594771242,0.6746911982248521
general_003,general,speculative_adaptive,adaptive_calibrated,0.3915583609271523,0.3618791946308725,0.029679166296279813,high,speculative_adaptive,23.593750000000004,0.3443708609271523,0.0,0.0,0.3618791946308725,0.3618791946308725,0.3915583609271523
general_004,general,speculative_adaptive,adaptive_calibrated,0.713544089147287,0.5359069468267581,0.17763714232052885,high,speculative_adaptive,34.21875000000001,0.5930232558139535,0.20833333333333334,0.0,0.5359069468267581,0.5359069468267581,0.713544089147287
